,AAPL,FB,LNKD,AMZN,GOOG,MSFT,BABA
2016-04-29,94.6555408381,116.89846772,122.300765722,601.306337147,691.286686219,49.7777564219,76.2455126335
2016-04-28,97.7182425658,109.160259152,119.102010781,608.5676001,704.307734973,50.8207724543,77.9623663519
2016-04-27,104.329715451,108.963809205,121.489161363,617.654728315,706.918345184,51.2821381493,78.7529615578
2016-04-26,104.939517811,110.258243549,118.291130956,630.112552586,723.08596941,52.1105021383,79.0045350443
2016-04-25,105.481291969,111.042996683,117.328781567,624.432098589,720.579999427,51.6874362122,80.1021913744
2016-04-22,105.921106451,114.322301444,119.468409886,634.467942175,760.210109717,55.7931404499,80.9594646809
2016-04-21,107.081469016,113.098176284,115.266514964,635.656537806,750.813987392,55.684919106,81.2272824195
2016-04-20,106.90854384,113.476311039,115.782537797,630.70729757,754.631725394,56.4423372146,79.4728540478
2016-04-19,107.137807846,111.294895435,117.01167675,638.875391495,767.167046166,56.5099974868,79.0425854147
2016-04-18,109.693420776,110.535670407,113.918679192,628.999582168,760.021529577,55.7503751675,79.1829726948
2016-04-15,112.152227161,111.652149677,115.649950479,624.671661027,753.167604641,55.4311418389,79.6161080352
2016-04-14,112.21379896,111.339325537,113.024709625,616.51910454,750.714388935,55.4426373354,80.060525656
2016-04-13,110.651430584,111.55304225,107.299608191,606.567934715,743.688219249,54.6860131841,78.0433259142
2016-04-12,108.967473051,108.91174297,106.202788442,598.239267788,734.829237322,54.3155796502,77.6582654762
2016-04-11,108.501424866,111.290278235,107.260418322,597.399990448,738.516669149,54.5091707057,77.4183938998
2016-04-08,108.247187744,114.538679453,109.96085737,592.938954669,740.089807909,54.5557706557,77.6530592883
2016-04-07,111.042014818,115.013102868,114.221411658,601.35517794,747.356203632,55.2519380829,78.9669584116
2016-04-06,109.830406431,112.616329528,110.760175114,587.08344374,738.263831758,54.5924874606,77.3132206051
2016-04-05,110.962710767,113.792344542,112.808968983,596.287214955,744.207017536,55.4965844482,79.2432697222
2016-04-04,109.738407517,116.934138277,110.134567954,599.609634527,749.045867545,55.6227878859,78.9314943479
2016-04-01,109.213759112,115.352712009,111.249044362,601.328796925,743.771280058,55.2782570419,79.3703014858
