,AAPL,FB,LNKD,AMZN,GOOG,MSFT,BABA
2016-04-29,94.6461018161,117.003903274,121.815700806,604.127902128,691.032720013,49.7645018645,76.4413020413
2016-04-28,97.6812998613,109.019099129,117.561696712,608.808709239,706.127927288,50.8376988977,77.7231020731
2016-04-27,104.258897909,108.845702086,121.284497754,619.352707473,708.514915375,51.4654990255,78.7103011003
2016-04-26,105.01030193,110.218298118,119.174501694,628.908914709,724.216925067,52.1453010353,78.9490961091
2016-04-25,105.619099939,110.814698255,118.101295651,623.098502599,719.739120969,51.8182990383,79.9468990569
2016-04-22,105.902900933,113.72950229,119.104897645,633.871302871,759.610515471,55.8594990795,80.8540990741
2016-04-21,107.09009696,112.68009826,115.878498558,635.924692935,752.724883055,55.6677000777,81.3908991809
2016-04-20,106.857103947,112.534301244,113.912896493,630.721326821,754.01969309,56.4816990917,79.6060991461
2016-04-19,107.306302826,110.662697213,116.514498514,638.413279063,766.950885341,56.5542990943,79.1473021373
2016-04-18,109.731497881,109.835499196,115.065699456,628.6897178,759.538100538,55.7323020823,79.1097011397
2016-04-15,112.143298043,111.041896202,116.146295446,623.385102635,753.283312083,55.4387010787,79.7721011621
2016-04-14,112.081301041,110.693102183,111.548101318,615.749107929,751.783071063,55.4298980799,79.8068991669
2016-04-13,110.431701992,110.780701171,107.894500204,603.957683788,743.482727393,54.7191020691,77.9771011171
2016-04-12,108.965296945,109.136098146,107.456101156,596.622493693,736.015675916,54.3743010643,77.8256991157
2016-04-11,108.612303952,110.788697159,106.534500094,595.249076649,739.047123897,54.4872980673,77.5815011115
2016-04-08,108.534300994,113.832099192,110.573098143,592.025493596,740.324329044,54.5292990693,77.7301011201
2016-04-07,111.07949912,113.875499166,112.904098154,602.74951767,747.927904238,55.2028990829,78.8413001613
2016-04-06,109.834298024,112.348301128,111.762898083,586.661715522,739.432089632,54.6339010739,77.4443001243
2016-04-05,111.03050291,112.664903115,113.385696076,593.733702544,745.236677947,55.5223000923,79.3473022673
2016-04-04,109.871697882,116.213098153,113.664695035,600.231301731,749.993473084,55.6667000967,78.9939032639
2016-04-01,108.898497908,114.215298115,112.299295949,595.18031654,745.327312377,55.3219000919,79.3026992727
